query,prompt,style,persona,sentence
"area:
  type: area
  value: Zeme, Italy
entities:
- id: 0
  is_area: true
  name: mud
  type: nwr
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The sentence must use all of the following search criteria:
Search area:
- Zeme, Italy
Objects:
- Obj. 0: mud
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,investigative journalist,"Please find locations within Zeme, Italy, where mud is present."
"area:
  type: area
  value: Obernfeld, Germany
entities:
- id: 0
  is_area: true
  name: shinto shrine
  type: nwr
- id: 1
  is_area: false
  name: lighthouse
  type: nwr
- id: 2
  is_area: true
  name: kindergarten
  properties:
  - name: barrier
  type: nwr
- id: 3
  is_area: false
  name: house
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 3
  type: contains
- source: 1
  target: 3
  type: dist
  value: 61635 km
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area:
- Obernfeld, Germany
Objects:
- Obj. 0: shinto shrine
- Obj. 1: lighthouse
- Obj. 2: kindergarten, barrier
- Obj. 3: house
Distances:
- Obj. 1 is inside Obj. 0
- Obj. 3 is inside Obj. 2
- Obj. 1 is 61635 kilometers from Obj. 3
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,political journalist,"Show me a shinto shrine in Obernfeld, Germany that contains a lighthouse, a kindergarten with a house inside it and a barrier, where the lighthouse is 61635 kilometers from the house."
"area:
  type: area
  value: Santa Ana Zirosto, Mexico
entities:
- id: 0
  is_area: true
  name: dam
  type: nwr
- id: 1
  is_area: false
  name: laundry place
  type: nwr
- id: 2
  is_area: false
  name: coin machine
  type: nwr
- id: 3
  is_area: false
  name: assembly point
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 0
  target: 2
  type: contains
- source: 3
  target: 1
  type: dist
  value: 98 cm
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The text should contain a small amount of typos.
You are searching for a place that fulfills all of the following search criteria:
Search area:
- Santa Ana Zirosto, Mexico
Objects:
- Obj. 0: dam
- Obj. 1: laundry place
- Obj. 2: coin machine
- Obj. 3: assembly point
Distances:
- Obj. 1 is in Obj. 0
- Obj. 2 is in Obj. 0
- Obj. 3 is approximately 98 cm away from Obj. 1
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,OSINT beginner,"Looking for a place in Santa Ana Zirosto, Mexico where there is a dam containing a laundry place and a coin machine, and an assembly point located about 98 cm from the laundry place."
"area:
  type: area
  value: Kanal
entities:
- id: 0
  is_area: true
  name: atoll
  properties:
  - name: woods
  type: nwr
- id: 1
  is_area: true
  name: rest stop
  properties:
  - name: brand
    operator: '~'
    value: e So
  type: nwr
- id: 2
  is_area: false
  name: wind mill
  properties:
  - name: brand
    operator: '~'
    value: e
  type: nwr
- id: 3
  is_area: false
  name: lift gate
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 50 m
- source: 1
  target: 2
  type: dist
  value: 2700 m
- source: 2
  target: 3
  type: dist
  value: 9500 ft
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area:
- Kanal
Objects:
- Obj. 0: atoll, woods
- Obj. 1: rest stop, brand: begins with the letters ""e So""
- Obj. 2: wind mill, brand: contains the letters ""e""
- Obj. 3: lift gate
Distances:
- Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): next to
- Obj. 1 is no less than two thousand, seven hundred meters away from Obj. 2
- Obj. 2 is nine thousand, five hundred feet away Obj. 3
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,human rights abuse monitoring OSINT Expert,"Find an atoll with woods next to a rest stop with a brand that begins with ""e So"" in Kanal, where the rest stop is no less than two thousand, seven hundred meters away from a wind mill with a brand that contains the letter ""e,"" and the wind mill is nine thousand, five hundred feet away from a lift gate."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: lawyer's office
  type: nwr
- id: 1
  is_area: false
  name: art gallery
  type: nwr
- id: 2
  is_area: false
  name: ship repair dock
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 6 in
- source: 0
  target: 2
  type: dist
  value: 6 in
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The text should contain a small amount of typos.
The sentence must use all of the following search criteria:
Objects:
- Obj. 0: lawyer's office
- Obj. 1: art gallery
- Obj. 2: ship repair dock
Distances:
- All objects are no more than 6 inches from another.
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,legal professional,"Find a lawyer's office located within 6 inches of an art gallery, which itself is no more than 6 inches from a ship repair dock."
"area:
  type: area
  value: Pluherlin, Bretagne, France
entities:
- id: 0
  is_area: true
  name: courthouse
  properties:
  - name: building number
    operator: '='
    value: 91C
  - name: brand
    operator: '~'
    value: er Cr
  type: nwr
- id: 1
  is_area: false
  name: office of a community of faith
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The sentence must use all of the following search criteria:
Search area:
- Pluherlin, Bretagne, France
Objects:
- Obj. 0: courthouse, building number: 91C, brand: contains the letters ""er Cr""
- Obj. 1: office of a community of faith
Distances:
- Obj. 1 is contained in Obj. 0
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,political journalist,"I'm looking for a specific courthouse in Pluherlin, Bretagne, France. The building number is 91C and it contains the letters ""er Cr"" in its brand. Inside this courthouse, there should be an office of a community of faith."
"area:
  type: area
  value: Dawran Aness, Dhamar, Yemen
entities:
- id: 0
  is_area: false
  name: mortuary
  type: nwr
- id: 1
  is_area: true
  name: oxbow lake
  type: nwr
- id: 2
  is_area: false
  name: travel trailer
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 300 mi
- source: 1
  target: 2
  type: dist
  value: 500 ft
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
You are searching for a location that fulfills all of the following search criteria:
Search area:
- Dawran Aness, Dhamar, Yemen
Objects:
- Obj. 0: mortuary
- Obj. 1: oxbow lake
- Obj. 2: travel trailer
Distances:
- Obj. 0 is no less than three hundred mi away Obj. 1
- Obj. 1 is five hundred feet away from Obj. 2
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,expert fact checker,"Find a location in Dawran Aness, Dhamar, Yemen where there is a mortuary that is no less than three hundred miles away from an oxbow lake, and the oxbow lake is five hundred feet away from a travel trailer."
"area:
  type: area
  value: Province of Pampanga, Central Luzon, Philippines
entities:
- id: 0
  is_area: false
  name: diving platform
  type: nwr
- id: 1
  is_area: true
  name: museum
  type: nwr
- id: 2
  is_area: true
  name: power plant
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 600 in
- source: 1
  target: 2
  type: dist
  value: 150 m
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The text should contain a large amount of typos and grammar mistakes.
The sentence must use all of the following search criteria:
Search area:
- Province of Pampanga, Central Luzon, Philippines
Objects:
- Obj. 0: diving platform
- Obj. 1: museum
- Obj. 2: power plant
Distances:
- Obj. 0 is at least six hundred inches away Obj. 1
- Use this term to describe the spatial relation between Obj. 1 and 2 similar to (similar to ""X is _ Y""): close to
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",investigative journalist,"find diving platform atleast 600 inches from museum, in pampanga cental luzon, museum close to power plant"
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: embankment
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The text should contain a medium amount of typos.
You are searching for a place that fulfills all of the following search criteria:
Objects:
- Obj. 0: embankment
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,hobby fact checker,Where is an embakment with grass and trees next to a river?
"area:
  type: area
  value: Olstorp, Sweden
entities:
- id: 0
  is_area: false
  name: beacon
  type: nwr
- id: 1
  is_area: true
  name: christian church
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 400 mi
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
You are searching for a location that fulfills all of the following search criteria:
Search area:
- Olstorp, Sweden
Objects:
- Obj. 0: beacon
- Obj. 1: christian church
Distances:
- All objects are four hundred miles from each other.
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",OSINT beginner,"Find a christian church and a beacon in Olstorp, Sweden that are four hundred miles apart."
"area:
  type: area
  value: ""Chlebi\u010Dov, Czech Republic""
entities:
- id: 0
  is_area: false
  name: attorney general, district attorney
  type: nwr
- id: 1
  is_area: true
  name: botanical garden
  type: nwr
- id: 2
  is_area: true
  name: pier
  type: nwr
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Search area:
- Chlebičov, Czech Republic
Objects:
- Obj. 0: attorney general, district attorney
- Obj. 1: botanical garden
- Obj. 2: pier
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,human rights abuse monitoring OSINT Expert,"Identify the location within the vicinity of Chlebičov, Czech Republic, where the district attorney, who is also identified as the attorney general, is situated in close proximity to a botanical garden and a pier."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: emergency bay
  type: nwr
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The text should contain a small amount of typos.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: emergency bay
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,legal professional,Find emergency bay.
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: pumping station
  properties:
  - name: name
    operator: '~'
    value: Essex Avenue
  type: nwr
- id: 1
  is_area: false
  name: led wall
  type: nwr
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The text should contain a medium amount of typos.
You are searching for a place that fulfills all of the following search criteria:
Objects:
- Obj. 0: pumping station, name:  ""Essex Avenue""
- Obj. 1: led wall
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",human rights abuse monitoring OSINT Expert,"Find a pumping station named ""Essex Avenue"" near a led wall."
"area:
  type: area
  value: Trasquera, Italy
entities:
- id: 0
  is_area: true
  name: buddhist temple
  type: nwr
- id: 1
  is_area: true
  name: bus route
  type: nwr
- id: 2
  is_area: false
  name: restaurant
  properties:
  - name: public wifi
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 0.7 mi
- source: 1
  target: 2
  type: dist
  value: 150 m
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The sentence must use all of the following search criteria:
Search area:
- Trasquera, Italy
Objects:
- Obj. 0: buddhist temple
- Obj. 1: bus route
- Obj. 2: restaurant, public wifi
Distances:
- Obj. 0 is no more than 0.7 mi from Obj. 1
- Use this term to describe the spatial relation between Obj. 1 and 2 similar to (similar to ""X is _ Y""): in surroundings
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,legal professional,"I'm looking for a buddhist temple in Trasquera, Italy, that is no more than 0.7 miles from a bus route. Additionally, there should be a restaurant with public wifi in the surroundings of the bus route."
"area:
  type: area
  value: Quail Valley, California, United States
entities:
- id: 0
  is_area: true
  name: aquarium
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The sentence must use all of the following search criteria:
Search area:
- Quail Valley, California, United States
Objects:
- Obj. 0: aquarium
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",hobby fact checker,"Find an aquarium in Quail Valley, California, United States."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: military airfield
  type: nwr
- id: 1
  is_area: false
  name: bakery
  type: nwr
- id: 2
  is_area: false
  name: bounday wall
  properties:
  - name: city wall
  - name: brand name
    operator: '~'
    value: Zuivelhoeve
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 7.32 in
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
You are searching for an area that fulfills all of the following search criteria:
Objects:
- Obj. 0: military airfield
- Obj. 1: bakery
- Obj. 2: bounday wall, city wall, brand name:  ""Zuivelhoeve""
Distances:
- Obj. 1 is within Obj. 0
- Obj. 2 is 7.32 in from Obj. 1
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,investigative journalist,"I am looking for a specific geographic location where a military airfield encompasses a bakery, and a boundary wall, also referred to as a city wall, branded ""Zuivelhoeve,"" is situated precisely 7.32 units away from the said bakery."
"area:
  type: area
  value: Candi Prambanan
entities:
- id: 0
  is_area: false
  name: hunting shop
  type: nwr
- id: 1
  is_area: false
  name: water tank
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 500 yd
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The text should contain a large amount of typos.
You are searching for a location that fulfills all of the following search criteria:
Search area:
- Candi Prambanan
Objects:
- Obj. 0: hunting shop
- Obj. 1: water tank
Distances:
- All objects are in a radius of five hundred yards.
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,political journalist,"Seerch for a locashun within the viciity of Candi Prambanan where there is a hunting shop situated no more than five hunderd yards from a water tank, ensuring that both objects are within the specified radius."
"area:
  type: area
  value: Glenarden
entities:
- id: 0
  is_area: true
  name: military base
  type: nwr
- id: 1
  is_area: true
  name: farmland
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 3500 ft
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
You are searching for a location that fulfills all of the following search criteria:
Search area:
- Glenarden
Objects:
- Obj. 0: military base
- Obj. 1: farmland
Distances:
- All objects are in a radius of three thousand, five hundred feet.
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,human rights abuse monitoring OSINT Expert,"Search for a location in Glenarden where a military base and farmland are within a radius of three thousand, five hundred feet from each other."
"area:
  type: area
  value: Valle del Cauca
entities:
- id: 0
  is_area: false
  name: fashion accessories
  type: nwr
- id: 1
  is_area: false
  name: steps
  properties:
  - name: overpass
  - name: metro tunnel
  - name: name
    operator: '~'
    value: -Phar
  type: nwr
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The text should contain a large amount of typos.
You are searching for a place that fulfills all of the following search criteria:
Search area:
- Valle del Cauca
Objects:
- Obj. 0: fashion accessories
- Obj. 1: steps, overpass, metro tunnel, name: begins with the letters ""-Phar""
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",expert fact checker,Find fashion accessories near steps or overpass or metro tunnel named -Phar in Valle del Cauca.
