id;displayed_text;sentence;YAML;;;;;;;;;;;;;;;;;;
doc_27;Please use the following data to write a prompt for finding a location with SPOT.<br /><br /><br />The objects you are looking for are:<br /> - office building, with floors: lower than 10<br /> - vacant shop<br /> - gambling den<br /><br /><br />The area you are searching in is:<br /> - Please don't specify a search area.<br /><br /><br />In your search the objects have the following relations to each other:<br /> - The vacant shop is within the office building<br /> - The gambling den is 0.5 miles from the vacant shop<br /><br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, multiple sentences.<br /><br /><br />Additional instructions:<br /> - None<br />;Please find me all gambling dens that can be found in less than 0.5 miles from a vacant shop. The vacant shop is contained in a office building that has not more than 10 floors.;"area:
    type: area
    value: Vilnius, Vilnius City Municipality, Lithuania
entities:
  - id: 0
    type: nwr
    name: gambling dens
  - id: 1
    type: nwr
    name: vacant shop
  - id: 2
    type: nwr
    name: office building
    properties:
      - name: levels
        operator: <
        value: 11
relations:  
  - type: dist
    source: 0
    target: 1
    value: 0.5 miles
  - type: contains
    source: 2
    target: 1";;;;;;;;;;;;;;;;;;
doc_42;"Please use the following data to write a prompt for finding a location with SPOT.<br /><br /><br />The objects you are looking for are:<br /> - side chapel<br /><br /><br />The area you are searching in is:<br /> - Vilnius, Vilnius City Municipality, Lithuania<br /><br /><br />In your search the objects have the following relations to each other:<br /> - None<br /> <br /><br />The overall style of your prompt should be:<br /> - Elaborate wording.<br /> - Containing a few grammar mistakes.<br /><br /><br />Additional instructions:<br /> - Please treat Object 1 as a cluster of 3 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br />";Could you help please me find three side chapels in Vilnius, Vilnius City Municipality, Lithuania that are 1m apart from each other.;"area:
    type: area
    value: Vilnius, Vilnius City Municipality, Lithuania
entities:
  - id: 0
    type: cluster
    name: side chapels
    minPoints: 3
    maxDistance: 1m";;;;;;;;;;;;;;;;;;
doc_437;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Pays-de-la-Loire, France<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /><br />The overall style of your prompt should be:<br /> - Simple language, all in one sentence.<br /><br />Additional instructions:<br /> - Please treat one of the objects as a cluster of 7 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br />";Search for seven butchers at 23,5 meters distance from each other in Pays-de-la-Loire, France within 550 meters of a Wifi Hotspot which in turn is no more than 330 meters away from a bus stop.;"area:
    type: area
    value: Pays-de-la-Loire, France
entities:
  - id: 0
    type: cluster
    name: butcher
    minPoints: 7
    maxDistance: 23,5 meters
  - id: 1
    type: nwr
    name: Wifi Hotspot
  - id: 2
    type: nwr
    name: bus stop
relations:
  - type: dist
    source: 0
    target: 1
    value: 550 meters
  - type: dist
    source: 1
    target: 2
    value: 330 meters";;;;;;;;;;;;;;;;;;
doc_7;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 1 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /> - At least one of the objects must be a brand name.<br /><br />The area you are searching in is:<br /> - Pennsylvania, United States<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - The objects are in no specific relation to another, search for them like they're unrelated.<br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, all in one sentence.<br /><br />Additional instructions:<br /> - Please treat one of the objects as a cluster of 5 of this Object when writing the prompt (similar to ""three houses"" instead of ""house"").<br /> - When writing the prompt, please make sure you use Greek letters for the brand name. We suggest using an (AI) translation tool to transform the brand name into the respective writing.<br />";Is there an Esso gas station in Pennsylvania, US;"area:
    type: area
    value: Pennsylvania, US
entities:
  - id: 0
    type: nwr
    name: gas station
    properties:
      - name: brand
        operator: ~
        value: Esso";;;;;;;;;;;;;;;;;;
doc_4;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 1 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Stevens County, United States<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - The objects are in no specific relation to another, search for them like they're unrelated.<br /><br />The overall style of your prompt should be:<br /> - Short and precise, all in one sentence.<br /><br />Additional instructions:<br /> - None<br />";Is there a post office in Stevens County, United States;"area:
    type: area
    value: Stevens County, United States
entities:
  - id: 0
    name: post office";;;;;;;;;;;;;;;;;;
doc_6;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /> - Please choose 1 object(s) and specify it/them in more detail with 1 attribute(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/Ecsu5jWfk5FJiVEJ29kE4XYBUIdNyBbkp9yy2ZxU5OJ9jw?e=II0pDC"">list of attributes</a>. Please combine objects and attributes in a meaningful way.<br /><br />The area you are searching in is:<br /> - Kadayanallur, India<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /><br />The overall style of your prompt should be:<br /> - Simple language, all in one sentence.<br /> - Containing a few typos.<br /><br />Additional instructions:<br /> - None<br />";Is there a chess game 10 metres away from a bistro outdoor seating in a park in Kadayanallur, India?;"area:
  type: area
  value: Kadayanallur, India
entities:
  - id: 0
    type: nwr
    name: chess game
  - id: 1
    type: nwr
    name: bistro
    properties:
      - name: outdoor seating
        operator: '='
        value: yes
  - id: 2
    type: nwr
    name: park
relations:
  - type: dist
    source: 0
    target: 1
    value: 10 m
  - type: contains
    source: 1
    target: 2";;;;;;;;;;;;;;;;;;
doc_399;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Las Calaveras, Mexico<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Short and precise, all in one sentence.<br /> - Containing a few typos.<br /><br />Additional instructions:<br /> - None<br />";Show me a cycl stand an a fire hydrant on a colllege campus in Las Calavveras, Mexiko;"area:
  type: area
  value: Las Calavveras, Mexiko
entities:
  - id: 0
    type: nwr
    name: cycl stand
  - id: 1
    type: nwr
    name: fire hydrant
  - id: 2
    type: nwr
    name: colllege campus
relations:
  - type: contains
    source: 2
    target: 0
  - type: contains
    source: 2
    target: 1";;;;;;;;;;;;;;;;;;
doc_400;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Monte das Gameleiras, Brazil<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /> - At least one object contains one or more of the other objects.<br /> - Pick a relative relation of objects to each other from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EaPukmnqYUFLssJ5nKvuPLQBjBFaIqB_URY6M5wzaKBlsA?e=r4ftNa"">list of relative distance terms</a><br /><br />The overall style of your prompt should be:<br /> - Short and precise, multiple sentences.<br /><br />Additional instructions:<br /> - None<br />";Find me parking spaces nearby a gas station less than 500 meters away from a taxi stand in Monte das Gameleiras, Brazil;"area:
    type: area
    value: Monte das Gameleiras, Brazil
entities:
  - id: 0
    type: nwr
    name: parking space
  - id: 1
    type: nwr
    name: gas station
  - id: 2
    type: nwr
    name: taxi stand
relations:
  - type: dist
    source: 0
    target: 2
    value: 500 meters
  - type: dist
    source: 1
    target: 2
    value: 500 meters";;;;;;;;;;;;;;;;;;
doc_397;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Cundinamarca, Colombia<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the metric system (meters (m), kilometers (km)).<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Short and precise, all in one sentence.<br /><br />Additional instructions:<br /> - None<br />";Find me parking spaces at a gas station less than 100.50 meters away from a taxi stand in Cundinamarca, Colombia.;"area:
    type: area
    value: Cundinamarca, Colombia
entities:
  - id: 0
    type: nwr
    name: parking space
  - id: 1
    type: nwr
    name: gas station
  - id: 2
    type: nwr
    name: taxi stand
relations:
  - type: dist
    source: 0
    target: 2
    value: 100.50 meters
  - type: dist
    source: 1
    target: 2
    value: 100.50 meters";;;;;;;;;;;;;;;;;;
doc_402;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Jalisco, Mexico<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - Set at least two objects at a distinct distance from each other. Please use up to 5 digits and up to 2 decimals with the imperial system (feet (ft), yards (yd), miles (mi)).<br /> - At least one object contains one or more of the other objects.<br /> - Pick a relative relation of objects to each other from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EaPukmnqYUFLssJ5nKvuPLQBjBFaIqB_URY6M5wzaKBlsA?e=r4ftNa"">list of relative distance terms</a><br /><br />The overall style of your prompt should be:<br /> - Short and precise, multiple sentences.<br /><br />Additional instructions:<br /> - None<br />";I am looking for a medical centre in Jalisco, Mexico with several options. On the grounds of this centre there is a public phone about 50 feet from a pharmacy and in front of the pharmacy there is a tapping point.;"area:
    type: area
    value: Jalisco, Mexico
entities:
  - id: 0
    type: nwr
    name: medical centre
  - id: 1
    type: nwr
    name: public phone
  - id: 2
    type: nwr
    name: pharmacy
  - id: 3
    type: nwr
    name: tapping point
relations:
  - type: contains
    source: 0
    target: 1
  - type: dist
    source: 1
    target: 2
    value: 50 feet
  - type: dist
    source: 2
    target: 3
    value: 150 m";;;;;;;;;;;;;;;;;;
doc_404;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Parfinskiy Rayon, Russia<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Short and precise, multiple sentences.<br /><br />Additional instructions:<br /> - None<br />";Find a trading centre in Parfinskiy Rayon, Russia with a post office and a public bathroom;"area:
    type: area
    value: Parfinskiy Rayon, Russia
entities:
  - id: 0
    type: nwr
    name: trading centre
  - id: 1
    type: nwr
    name: post office
  - id: 2
    type: nwr
    name: public bathroom
relations:
  - type: contains
    source: 0
    target: 1
  - type: contains
    source: 0
    target: 2";;;;;;;;;;;;;;;;;;
doc_405;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 2 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Please don't specify a search area.<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - All objects are within a distinct radius from each other. Please use up to 5 digits and up to 2 decimals with the imperial system (feet (ft), yards (yd), miles (mi)) for your radius.<br /><br />The overall style of your prompt should be:<br /> - Short and precise, multiple sentences.<br /><br />Additional instructions:<br /> - None<br />";Find me an elementary school that is within four miles from a charging station.;"area:
  type: bbox
entities:
  - id: 0
    type: nwr
    name: elementary school
  - id: 1
    type: nwr
    name: charging station
relations:
  - type: dist
    source: 0
    target: 1
    value: 4 miles";;;;;;;;;;;;;;;;;;
doc_398;"Please stick to the following instructions and choose the relevant items from the respective lists to write a sound and logical prompt for finding a location with SPOT.<br /><br />For your search, please choose 3 object(s) from this <a target=”_blank” href=""https://deutschewelle.sharepoint.com/:x:/t/GR-GR-ReCo-KID2/EYEtCb8IvOZEuSSA55rABBUB3_4in40EKMY6BdThah8juw?e=q3tyR0"">list of objects</a>.<br /><br />The area you are searching in is:<br /> - Comuna Stoic?ne?ti<br /><br />Please put the selected objects in meaningful relations to each other, using *only* and *all* of the following types:<br /> - At least one object contains one or more of the other objects.<br /><br />The overall style of your prompt should be:<br /> - Elaborate wording, all in one sentence.<br /><br />Additional instructions:<br /> - None<br />";Please find me a public library with a coffee bar and outdoor seating in Comuna Stoic?ne?ti;"area:
    type: area
    value: Canterbury Region, New Zealand
entities:
  - id: 0
    type: nwr
    name: public library
  - id: 1
    type: nwr
    name: coffee bar
    properties:
      - name: outdoor seating
        operator: '='
        value: yes
relations:
  - type: contains
    source: 0
    target: 1";;;;;;;;;;;;;;;;;;
